subject condition sample channel value hemisphere
R1292 c1 -63 ch131 -11.528236 left
R1292 c1 -62 ch48 4.371441 left
R1292 c1 -62 ch76 3.177362 left
R1292 c1 -62 ch77 -1.809755 left
R1292 c1 -62 ch79 -0.253655 left
R1292 c1 -62 ch80 6.417820 left
R1292 c1 -62 ch85 -5.584590 left
R1292 c1 -62 ch88 0.664964 left
R1292 c1 -62 ch90 22.521935 left
R1292 c1 -62 ch130 0.294952 left
R1292 c1 -62 ch131 -12.204521 left
R1292 c1 -61 ch48 4.710691 left
R1292 c1 -61 ch76 2.725328 left
R1292 c1 -61 ch77 -2.758397 left
R1292 c1 -61 ch79 -1.856809 left
R1292 c1 -61 ch80 5.911339 left
R1292 c1 -61 ch85 -5.363953 left
R1292 c1 -61 ch88 1.013000 left
R1292 c1 -61 ch90 22.099401 left
R1292 c1 -61 ch130 0.796688 left
R1292 c1 -61 ch131 -12.819884 left
R1292 c1 -60 ch48 5.117216 left
R1292 c1 -60 ch76 2.264180 left
R1292 c1 -60 ch77 -3.647420 left
R1292 c1 -60 ch79 -3.441375 left
R1292 c1 -60 ch80 5.371124 left
R1292 c1 -60 ch85 -5.096718 left
R1292 c1 -60 ch88 1.315355 left
R1292 c1 -60 ch90 21.581566 left
R1292 c1 -60 ch130 1.292977 left
R1292 c1 -60 ch131 -13.362831 left
R1292 c1 -59 ch48 5.579185 left
R1292 c1 -59 ch76 1.797105 left
R1292 c1 -59 ch77 -4.480643 left
R1292 c1 -59 ch79 -4.993599 left
R1292 c1 -59 ch80 4.808783 left
R1292 c1 -59 ch85 -4.788055 left
R1292 c1 -59 ch88 1.564612 left
R1292 c1 -59 ch90 20.963051 left
R1292 c1 -59 ch130 1.782034 left
R1292 c1 -59 ch131 -13.822513 left
R1292 c1 -58 ch48 6.083486 left
R1292 c1 -58 ch76 1.327330 left
R1292 c1 -58 ch77 -5.262334 left
R1292 c1 -58 ch79 -6.500249 left
R1292 c1 -58 ch80 4.236067 left
R1292 c1 -58 ch85 -4.443596 left
R1292 c1 -58 ch88 1.754189 left
R1292 c1 -58 ch90 20.239311 left
R1292 c1 -58 ch130 2.262342 left
