subject condition sample channel value hemisphere
R1292 c1 -70 ch90 5.856541 left
R1292 c1 -70 ch130 4.623485 left
R1292 c1 -70 ch131 1.003820 left
R1292 c1 -69 ch48 -14.548378 left
R1292 c1 -69 ch76 18.986719 left
R1292 c1 -69 ch77 4.275999 left
R1292 c1 -69 ch79 -2.562801 left
R1292 c1 -69 ch80 -4.219837 left
R1292 c1 -69 ch85 -16.483999 left
R1292 c1 -69 ch88 -13.345043 left
R1292 c1 -69 ch90 5.828194 left
R1292 c1 -69 ch130 6.870722 left
R1292 c1 -69 ch131 1.701035 left
R1292 c1 -68 ch48 -13.248715 left
R1292 c1 -68 ch76 18.225855 left
R1292 c1 -68 ch77 5.711561 left
R1292 c1 -68 ch79 -2.406383 left
R1292 c1 -68 ch80 -2.052052 left
R1292 c1 -68 ch85 -16.485634 left
R1292 c1 -68 ch88 -13.992244 left
R1292 c1 -68 ch90 5.828333 left
R1292 c1 -68 ch130 9.067150 left
R1292 c1 -68 ch131 2.511658 left
R1292 c1 -67 ch48 -11.940824 left
R1292 c1 -67 ch76 17.439194 left
R1292 c1 -67 ch77 7.088008 left
R1292 c1 -67 ch79 -2.216554 left
R1292 c1 -67 ch80 0.094819 left
R1292 c1 -67 ch85 -16.313225 left
R1292 c1 -67 ch88 -14.502118 left
R1292 c1 -67 ch90 5.853747 left
R1292 c1 -67 ch130 11.201398 left
R1292 c1 -67 ch131 3.428926 left
R1292 c1 -66 ch48 -10.630603 left
R1292 c1 -66 ch76 16.626371 left
R1292 c1 -66 ch77 8.399510 left
R1292 c1 -66 ch79 -1.996164 left
R1292 c1 -66 ch80 2.206942 left
R1292 c1 -66 ch85 -15.966998 left
R1292 c1 -66 ch88 -14.867207 left
R1292 c1 -66 ch90 5.900683 left
R1292 c1 -66 ch130 13.262853 left
R1292 c1 -66 ch131 4.444246 left
R1292 c1 -65 ch48 -9.323780 left
R1292 c1 -65 ch76 15.786993 left
R1292 c1 -65 ch77 9.640746 left
R1292 c1 -65 ch79 -1.748033 left
R1292 c1 -65 ch80 4.271182 left
R1292 c1 -65 ch85 -15.449348 left
R1292 c1 -65 ch88 -15.081398 left
R1292 c1 -65 ch90 5.964913 left
R1292 c1 -65 ch130 15.241714 left
R1292 c1 -65 ch131 5.547327 left
R1292 c1 -64 ch48 -8.025885 left
R1292 c1 -64 ch76 14.920611 left
R1292 c1 -64 ch77 10.806858 left
R1292 c1 -64 ch79 -1.474984 left
R1292 c1 -64 ch80 6.275254 left
R1292 c1 -64 ch85 -14.764834 left
R1292 c1 -64 ch88 -15.140022 left
R1292 c1 -64 ch90 6.041771 left
R1292 c1 -64 ch130 17.129034 left
R1292 c1 -64 ch131 6.726283 left
R1292 c1 -63 ch48 -6.742188 left
R1292 c1 -63 ch76 14.026765 left
R1292 c1 -63 ch77 11.893475 left
R1292 c1 -63 ch79 -1.179744 left
R1292 c1 -63 ch80 8.207804 left
R1292 c1 -63 ch85 -13.920082 left
R1292 c1 -63 ch88 -15.039892 left
R1292 c1 -63 ch90 6.126279 left
R1292 c1 -63 ch130 18.916742 left
R1292 c1 -63 ch131 7.967824 left
R1292 c1 -62 ch48 -5.477699 left
R1292 c1 -62 ch76 13.104925 left
R1292 c1 -62 ch77 12.896733 left
R1292 c1 -62 ch79 -0.864917 left
R1292 c1 -62 ch80 10.058517 left
R1292 c1 -62 ch85 -12.923678 left
R1292 c1 -62 ch88 -14.779424 left
R1292 c1 -62 ch90 6.213184 left
R1292 c1 -62 ch130 20.597654 left
R1292 c1 -62 ch131 9.257419 left
R1292 c1 -61 ch48 -4.237105 left
